iter	Passed	Remaining
0	57	57567
1	57	28929
2	58	19389
3	58	14598
4	58	11727
5	59	9817
6	59	8452
7	59	7423
8	60	6622
9	60	5991
10	60	5480
11	61	5037
12	61	4669
13	61	4351
14	62	4080
15	62	3840
16	62	3626
17	63	3438
18	63	3271
19	63	3121
20	64	2984
21	64	2855
22	64	2740
23	64	2635
24	65	2541
25	65	2454
26	65	2371
27	66	2293
28	66	2220
29	66	2151
30	66	2091
31	67	2032
32	67	1980
33	67	1929
34	68	1879
35	68	1833
36	68	1788
37	69	1746
38	69	1707
39	69	1669
40	69	1633
41	70	1600
42	70	1569
43	70	1539
44	71	1510
45	71	1481
46	71	1453
47	71	1426
48	72	1402
49	72	1379
50	72	1356
51	73	1333
52	73	1311
53	73	1290
54	73	1271
55	74	1252
56	74	1233
57	74	1216
58	75	1198
59	75	1182
60	75	1167
61	76	1151
62	76	1135
63	76	1121
64	76	1106
65	77	1092
66	77	1080
67	77	1069
68	78	1056
69	78	1045
70	79	1033
71	79	1021
72	79	1010
73	79	999
74	80	988
75	80	978
76	80	968
77	81	959
78	81	950
79	81	940
80	82	930
81	82	921
82	82	911
83	82	902
84	83	894
85	83	886
86	83	879
87	84	871
88	84	863
89	84	855
90	84	848
91	85	841
92	85	833
93	85	826
94	86	820
95	86	814
96	86	807
97	87	800
98	87	794
99	87	788
100	87	782
101	88	776
102	88	770
103	88	764
104	89	759
105	89	753
106	89	748
107	89	742
108	90	736
109	90	731
110	90	726
111	90	720
112	91	716
113	91	711
114	91	706
115	92	701
116	92	697
117	92	693
118	93	689
119	93	685
120	93	681
121	94	677
122	94	673
123	94	669
124	95	665
125	95	660
126	95	656
127	95	652
128	96	649
129	96	645
130	96	641
131	96	637
132	97	634
133	97	630
134	97	626
135	98	622
136	98	619
137	98	615
138	98	612
139	99	609
140	99	605
141	99	602
142	100	599
143	100	596
144	100	592
145	100	589
146	101	586
147	101	582
148	101	579
149	101	576
150	101	573
151	102	570
152	102	567
153	102	563
154	102	560
155	103	558
156	103	554
157	103	552
158	103	549
159	104	546
160	104	543
161	105	544
162	105	542
163	105	539
164	106	537
165	106	535
166	106	532
167	107	530
168	107	528
169	107	526
170	108	524
171	108	521
172	108	519
173	108	516
174	109	514
175	109	512
176	109	510
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	496
183	111	495
184	111	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	479
192	114	477
193	114	475
194	114	473
195	114	471
196	115	469
197	115	467
198	115	465
199	116	464
200	116	462
201	116	460
202	116	458
203	117	456
204	117	455
205	117	453
206	117	451
207	118	449
208	118	448
209	118	447
210	119	445
211	119	444
212	119	442
213	120	440
214	120	439
215	120	437
216	120	436
217	121	434
218	121	432
219	121	431
220	121	429
221	122	428
222	122	426
223	122	425
224	123	424
225	123	422
226	123	421
227	124	419
228	124	418
229	124	417
230	124	416
231	125	414
232	125	413
233	125	411
234	126	410
235	126	408
236	126	407
237	126	406
238	127	404
239	127	403
240	127	402
241	127	400
242	128	399
243	128	397
244	128	396
245	129	395
246	129	394
247	129	393
248	129	392
249	130	390
250	130	389
251	130	388
252	131	387
253	131	386
254	131	385
255	132	384
256	132	382
257	132	381
258	133	380
259	133	380
260	133	379
261	134	378
262	134	376
263	134	375
264	135	374
265	135	373
266	135	372
267	136	372
268	136	370
269	136	369
270	136	368
271	137	367
272	137	366
273	137	365
274	138	364
275	138	363
276	138	361
277	139	361
278	139	359
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	141	353
285	141	353
286	141	352
287	142	351
288	142	350
289	142	349
290	142	348
291	143	347
292	143	346
293	143	345
294	144	344
295	144	343
296	144	343
297	145	342
298	145	341
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	148	335
306	148	335
307	148	334
308	149	333
309	149	332
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	151	327
